,full_text,VADER_score,predicted_sentiment
0,". and have signed on with , to make million doses of their experimental available to , a global scheme to cover inoculations for developing nations. and are already on board.",0.0,negative
1,"The burden of ""evidence"" should be upon those who want to inject us with their ...where is their ""evidence"" that vaccinating us with all of these toxins and DNA-altering substances won't cause harm?",0.0644,neutral
2,""" promised universal access Well be ready to put a into the world by March or April next year""- Stephen Saad (CEO - Pharmacare)",0.7269,positive
3,""" promised universal access Well be ready to put a into the world by March or April next year""- Stephen Saad (CEO - Pharmacare)",0.7269,positive
4,"According to initial estimation, healthcare workers, including doctors, nurses and paramedics besides the ASHA and Anganwadi workers associated with health centres across Odisha would be administered first.",0.0,negative
5,"Sunday, two Israelis were administered the first doses of Israels coronavirus vaccine candidate as Israel starts conducting human trials.",0.0,negative
6,""" is a $400 billion company Were well-positioned The tech transfer weve started the process we like their candidate. You only need one shot""- Stephen Saad (CEO - Pharmacare)",0.3612,neutral
7,""" is a $400 billion company Were well-positioned The tech transfer weve started the process we like their candidate. You only need one shot""- Stephen Saad (CEO - Pharmacare)",0.3612,neutral
8,Factbox: Development of 's potential,0.0,negative
9,"as WILL:halt the ,,,,,start a NEW etc.",0.0,negative
10,JSE-listed Pharmacare has struck a manufacturing deal with US multinational .Aspen will make the vaccines in if trials are successful and manufacturing terms are finalised.,0.4215,neutral
11,JSE-listed Pharmacare has struck a manufacturing deal with US multinational .Aspen will make the vaccines in if trials are successful and manufacturing terms are finalised.,0.4215,neutral
12,There is no vaccine...,-0.296,negative
13,"$AMPE-Strong Buy ! $AMPE announced today that the Company will discuss a and other drugs in their pipeline and financial update webinar on Thursday, November , at :30 pm EST.",0.0,negative
14,Investors the world over clamoured for JSE-listed Pharmacare on Monday.,0.0,negative
15,Investors the world over clamoured for JSE-listed Pharmacare on Monday.,0.0,negative
16,"Without a vaccine, business as unusual is expected to continue until early . Read the full story here:",0.0,negative
17,will be ready. Why this year's campaign may be a dress rehearsal for a | CBC Radio,0.3612,neutral
18,"Uninsured? You'll get the for free, too. Providers will be reimbursed for costs incurred.",0.5106,neutral
19,"""Well be ready to put a into the world by March or April next year""- Stephen Saad (CEO - Pharmacare)",0.5574,neutral
20,"""Well be ready to put a into the world by March or April next year""- Stephen Saad (CEO - Pharmacare)",0.5574,neutral
21,"German vaccine maker on Monday said that interim results from early trials showed that its investigational vaccine candidate, CvnCoV, appeared safe and triggered immune response among volunteers.: IANS (Representational image)",0.6249,neutral
22,A candidate produces in mice at levels ten-times greater than is seen in people who have recovered from infections.,0.3612,neutral
23,When can we go back to normal? Please ! Peter Positive,0.7345,positive
24,"India has leveraged its manufacturing capacity to pre-order million doses of potential and negotiating for another billion doses, says a new global analysis of advance market commitments (AMC) for candidates against the .",0.128,neutral
25,"Vaccine hesitancy is to be expected in a normal circumstanceits very different from being what we call anti-vaccine -. Before we can have a successful , we must first address this hesitancy. Learn more on our :",0.25,neutral
26,"The announced in October that its had started a rolling review of data for , the first to be evaluated under these arrangements. We confirm the 's rolling review of our potential vaccine.",0.0,negative
27,"has confirmed that the UKs Medicines and Healthcare Products Regulatory Agency () has begun a fast-track rolling review of its , the it developed in conjunction with Oxford University.",0.0,negative
28,"Dear Friends,, PI Philly and Comites are glad to invite you to: ""Covid-19 Vaccine: What to Expect: a closer look to vaccine development and their impact on the pandemic"". Date: November , Time: pm (EST)",0.7351,positive
29,"""We found that Americans support for vaccination declines in the face of political involvement in the vaccine process.""In , profs and Doug Kriner discuss their study of American attitudes toward ://",0.4019,neutral
30,"Read 's take on why it is critical for states to plan ahead for distribution, and what those of us working in , &amp; tech can do to help!",0.1759,neutral
31,"Labour MP Stella Creasy thinks the only way out of the pandemic, is mass vaccination of the British public, and she fully supports the , just moans it didn't come sooner.",0.2944,neutral
32,Register Now:,0.0,negative
33,"$TNXP-Dr. Seth Lederman, CEO of Tonix Pharmaceuticals $TNXP will be joining me on Nov at pm EST to discuss a TNX-1800 and other drugs in their pipeline!If there are any medical/science questions for him, please let me know!",0.4374,neutral
34,CureVac Vaccine Induces Immune Response in Early Trial,0.296,neutral
35,"As late-stage trials for a edge towards the finish line, skepticism about vaccines is spreading, and drugmakers and health officials are scrambling to restore public trust. Our editors discuss",0.5423,neutral
36,Dr. Yo-Why this information not on news or company website re: $TNXP will be joining me on Nov at pm EST to discuss a TNX-1800 and other drugs in their pipeline! Dr. Yo are you misleading to short your shares =this is criminal offence -if it is true prove it.,-0.5562,negative
37,South African pharmaceutical company Aspen says that one of its subsidiaries has entered into an agreement with Johnson &amp; Johnson for a Covid-19 vaccine candidate.,0.4939,neutral
38,How to Create Your Own Cryptocurrency $ETH $FET $FIL $XRP $USDT $BCH $ADA $BSV $LTC $LINK $BNB $CRO $MSFT $NVDA $PYPL $AMD $GS $JPM $GBTC,0.2732,neutral
39,"A Singapore startup company, Breathonix, has developed a coronavirus breathalyzer test which will let people know if they infected, with results known in under a minute.",-0.4939,negative
40,Our country should be learning from any country not doing as poorly as the U.S. in controlling . that would be almost ALL of them!,0.0,negative
41,TODAY -2:15 ET: Don't miss the panel discussion on the production and distribution challenge:,0.1887,neutral
42,". and have signed on with , to make million doses of their experimental available to , a global scheme to cover inoculations for developing nations. and are already on board.",0.0,negative
43,Partial lockdown expected in Cyprus,0.0,negative
44,Epidemiologists table measures to curb coronavirus spread in Cyprus during meeting with Health Minister,0.0,negative
45,Cyprus police report individuals for COVID-19 measures violations,-0.5267,negative
46,Ministry of Health in Cyprus announced on Sunday new coronavirus cases,0.0,negative
47,"Researchers from and the are collaborating in development more than ever, despite the political tensions between the two countries.",0.3089,neutral
48,Cyprus authorities to announce new measures to contain COVID-19 spread following alarming hike in cases,-0.128,negative
49,Stocks to invest in regardless of the election winnerFeature: CHNUFDiscuss: $ABT $SBAC $NEM $ROP $CSL $LINC $COE $UTI $LOPE $GOOG $SNOW $CHGG $EDU $GSX,0.0,negative
50,"Since s plans for distribution perpetuate the preexisting inbred in the American medical system, why are apparently so many younger Black males planning on voting for ? - Andy, Tish slam Don's plan for vax",-0.3818,negative
51,Check out the EU plan for overcoming the and the European strategy for developing and deploying,0.0,negative
52,Let's discuss - a recent report shows that storage in the UK is % of warehousing - but more is needed to keep up with challenges of stockpiling food during the &amp; storing a future,0.1154,neutral
53,Aspens share price rallies over % on news it may manufacture a vaccine candidate.,0.296,neutral
54,"SO Many are coming! HOW to Choose? ~ 's TIPs, FULL STORY",0.0,negative
55,'s first to launch in Q2 !,0.0,negative
56,Count down to webinar. DAYS TO GO! Have you registered yet? Please do so via the link and join us as we explore matters preparing African countries for .,0.5983,neutral
57,to launch Indias first in this quarter,0.0,negative
58,"is planning to launch its in the second quarter next year if it gets the requisite approvals from the Indian regulatory authorities, a top company official said.",0.2023,neutral
59,ETHealthworld | Karnataka: Over in Belagavi to get Covaxin in third phase of trials,0.0,negative
60,"updates: Covaxin, Indias first indigenous COVID vaccine, is likely to be launched by mid-2021, Israel starts human trials ://",0.128,neutral
61,An promises lakh jobs for Bihari's to Get him a New Job. An Lady minister promises free for entire state. What an Irony! God save people of Bihar.,0.9168,positive
62,Johnson &amp; Johnson vaccine starts testing with Stanford Medicine,0.0,negative
63,how will the cold chain logistics and warehousing industry meet the demands of a COVID-19 Vaccine,0.0,negative
64,a company official said that Bharat Biotech is planning to launch its vaccine for COVID-19 in the second quarter of if it gets the requisite approvals from the Indian authorities.,0.0,negative
65,Global study sees India having edge in Covid-19 vaccines. ://,0.0,negative
66,"Health Minister has confirmed that front-line health workers including , nurses, doctors, pathologists and aged care staff will be the first to receive a . To learn more, follow this link -",0.4939,neutral
67,: Human trials have begun on a developed by the Institute for Biological Research. i24NEWS' Ariel Levin-Waldman reports:,0.0,negative
68,: Human trials have begun on a developed by the Institute for Biological Research. i24NEWS' Ariel Levin-Waldman reports:,0.0,negative
69,"Israel began human trials of a , Hadassah and Sheba Medical Centers said. In Sheba hospital, located in central Israel, a -year-old business student was injected with the novel ""BriLife"" vaccine created by the Israeli Institute of Biological Research.",0.5106,neutral
70,"yes, I understand. I asked the question for those who are considering getting the and think they can just detox from it...there's stuff in that vaccine that you can't detox out of your body once it's injected",0.4019,neutral
71,"Government of supports phase trial for , reports Tim Sandle.",0.3612,neutral
72,". and have signed on with , to make million doses of their experimental available to , a global scheme to cover inoculations for developing nations. and are already on board.",0.0,negative
73,"As the world waits impatiently for a , the Pakistani arm of the largest global study to test if or chloroquine can prevent the coronavirus in vital healthcare workers has begun enrolling participants at the Aga Khan University in Karachi. /3",-0.1027,negative
74,"Fauci said that while the United States is expected to have a vaccine developed in the next few months, its possible a substantial proportion of people wont be vaccinated until the middle of next year.",0.5574,neutral
75,"$TNXP-Dr. Seth Lederman, CEO of Tonix Pharmaceuticals $TNXP will be joining me on Nov at pm EST to discuss a TNX-1800 and other drugs in their pipeline!If there are any medical/science questions for him, please let me know!",0.4374,neutral
76,"Whoever finds the vaccine must share it, says a new report about barriers to equitable, global access (). Check out our event w/ &amp; to learn more about vaccine :",0.296,neutral
77,Britain starts accelerated review for 's potential ; AstraZeneca's COVID-19 vaccine is being developed along with the University of Oxford.,0.0,negative
78,Could this be AstraZenecas moment?,0.0,negative
79,to infect healthy volunteers with in trials,0.4019,neutral
80,"Expectations are high and it's all over the news,the COVID-19 vaccine wait. Wish we could have a VACCINE FOR ANTIMICROBIAL RESISTANCE!Let us not forget the indirect morbidity &amp; mortality AMR is causing in CoVID patients",0.5659,neutral
81,Healthcare Workers to Get First; Distribution to Extend for More Than a Year(: (Pritam Thakur/BCCL Chandigarh),0.1779,neutral
82,"Also, my GP has a very high number of patients in a high-risk category and still no vaccine. Im lucky my specialist at had it, so got mine there! Hows it going to work when we get a ?",0.3549,neutral
83,Hindustan Times - International - Israel starts human trials of Covid-19 vaccine as schools slowly reopen - [],0.0,negative
84,"may cost Rs -5,500While the prices of are yet to be confirmed by the respective companies, estimates suggest that two doses (including shot) of a vaccine could cost between Rs and Rs . with more:",0.4215,neutral
85,"The true exit from coronavirus lies through development of vaccines ~ PM Netanyahu at , as the first volunteer received the first dose of Israel's :Today is a very important day, it's a day that gives us an injection of optimism.",0.6801,neutral
86,Sign up for Be Part of Research boxes about more,0.0,negative
87,Sign up for Be Part of Research boxes about more,0.0,negative
88,"Coronavirus Vaccine Covaxin, Developed by Bharat Biotech, Likely to be Launched in Second Quarter of Year",0.128,neutral
89,You're a sucker or loser &amp; you're alone. I still when I do leave the house &amp; will do so until there's a approved ! Ignore people bc they don't believe in science.,-0.8284,negative
90,Israel starts human trials on COVID-19 vaccine as schools slowly reopen,0.0,negative
91,One more death and new coronavirus cases in Cyprus on Saturday,-0.6361,negative
92,"Human clinical trials began today of the Israeli Brilife. If all goes to plan, vaccinations will take place by May .",0.0,negative
93,"Read Carole Sian's () Oct Newsletter 'Good morning, my personal choices for today: '",0.4404,neutral
94,"Read Carole Sian's () Oct Newsletter 'Good morning, my personal choices for today: '",0.4404,neutral
95,Is the Covid-19 vaccine almost ready? Here's what you should know!,0.3609,neutral
96,"We remain focused on ensuring negotiations with developers are on track so that when a is ready, Canada is ready.",0.8271,positive
97,It may be time to reset expectations on when well get a Covid-19 vaccine via,0.2732,neutral
98,Completely agree. Take a look at Vallance's connection with developer,0.4201,neutral
99,Dr. &amp; won't profit from drug . ://,-0.3412,negative
100,update: Moderna on Track to Report Phase Data Next Month,0.0,negative
101,Bubble indemnity: Big firms will NOT be held accountable for side effects of Covid and the World Health Organisation supports it.,0.3612,neutral
102,See the latest update on the urgent race to develop a at . cc,0.2023,neutral
103,Cyprus Police report citizens and premises owners for violations of COVID-19 measures,-0.5267,negative
104,"""...get through the next -8 months until we have a vaccine."" No vaccine for cold, flu vaccines haven't eradicated flu. Why is required to have a functioning socio-economic system &amp; society in ? Who decided that? I certainly don't agree.",-0.7558,negative
105,"has one of the largest &amp; most diverse candidate portfolios in the world3 developers , &amp; - have already begun the critical regulatory review process with Health Canada. Were also supporting clinical trials of Canadas .",0.1531,neutral
106,"Our proactive approach to securing candidates has positioned us to receive first deliveries during early contingent on authorization.Canadas anticipated delivery schedules are in line with the EU, Japan, Australia &amp; many other jurisdictions",0.6249,neutral
107,Its official! The Immune System booster works.This supplement can be made at home! This Booster will boost your Immune System to fight viruses like Covid and it does! Share this as we will be launching the video on how to make this supplement,0.8433,positive
108,AIIMS Delhi to submit a proposal to start the third phase clinical trials of COVAXIN vaccine against coronavirus which was being developed by the Indian company Bharat Biotech.,0.0,negative
109,"Economies are opening up, but there are still restrictions, and many people are still afraid to go out. Frank breaks down how could still be affecting some industries... as well as how a could boost one ... and crash others.",0.3919,neutral
110,"Govt begins preparations for COVID-19 Vaccine drive, asks states to set up -tier system for rollout.",0.0,negative
111,"Is this a preview of distribution? found... process marked by haphazard planning, little or no comms to local authorities about flow of pills into their communities, &amp; lack public accounting about where they ended up",-0.4976,negative
112,Cyprus Ministry of Health announced on Friday new coronavirus cases,0.0,negative
113,"According to , vaccines are under Final rd consecutive Trial with no sign of Completion till Mid . So, Trump's assumption are totally baseless.",-0.296,negative
114,Johnson &amp; Johnson Plans To Test Its Covid-19 Vaccine In Ages -18 Soon ://,0.0,negative
115,"In a rush for , Journalist () messes up the Trial norms writes CEO Dr. Anand Lakshman ()",0.0,negative
116,Is BJPs Free Vaccine Promise in Its Bihar Manifesto Violation of Model Code? Here's What EC Says,0.34,neutral
117,I think should release,0.0,negative
118,"Join us NEXT WEEK at Vaccine World Asia Congress ! Some of our highly anticipated speakers are from , , and ! Join us now:",0.6103,neutral
119,"The 's promise of providing free vaccine in its manifesto for the is not violative of the provisions of the model code, the has held.",0.8114,positive
120,The defected and deadly being vaccinated to might be the ?,-0.4019,negative
121,: Opposition RJD had criticised the and said that the belonged to the nation and not the BJP.,-0.4215,negative
122,"Meeting, DPM/FM Don emphasised equitable access to , support to vulnerable groups, , grassroots economy, community-driven tourism, and to for inclusive and sustainable post recovery",0.2023,neutral
123,": In the continuing fight against the novel Coronavirus, researchers have now identified a drug with the potential to provide treatment for Covid-19 close to a year after it turned into a pandemic.",-0.0772,negative
124,"The Election Commission of India has ruled out that BJP's promise in Bihar is a violation of the Model Code of Conduct (MCC), according to a media report.",-0.2263,negative
125,"and share your work in which is scheduled on ,",0.296,neutral
126,"Pointing out that the is causing a humanitarian crisis, Dr T Jacob John and Dr Dhanya Dharmapalan have said the country needs to sail right through these unchartered ethical waters, carrying the as cargo.",-0.2023,negative
127,"Under pressure, WHO plans COVID-19 vaccine insurance scheme for poor nations ://",-0.6486,negative
128,"Today, more than four dozen potential Covid-19 vaccines are in human clinical trials, according to the . Two are being tested in South Africa. | ://",0.0,negative
129,J&amp;J said in a statement that it is currently in discussions with regulators and partners regarding the inclusion of the pediatric population in its trials.://,0.0,negative
130,"Researchers may run for different brands of curing Corona,However permanent formula for protecting from Corona is inhelling steam twice/thrice a day,taking fresh n hotfood,drinking luckwarm water&amp; offcoures wearing mask,following social distancing for next years",0.3182,neutral
131,Dr. Tamera-Coyne Beasley has joined NGIO's Scientific &amp; Clinical Advisory Board to help guide the companys efforts in developing protocols that address the unmet medical and social needs of adolescents and young adults.,0.4019,neutral
132,. Dr Fran Priddy speaks to about how NZ is contributing to global efforts,0.0,negative
133,More than % of coronavirus cases recorded in the last days in Cyprus,0.0,negative
134,"Recent rise in COVID-19 cases means Cyprus may see more patients in critical condition, expert tells CNA",-0.3744,negative
135,Coming soon...,0.0,negative
136,Experts say a minimum of months of data is necessary to determine safety of COVID-19 vaccines,0.4215,neutral
137,"This week, and released a Vaccine Allocation Planner for states and cities to plan distribution.",0.0,negative
138,Here we go!!! I am very pro-vaccine and pro-rigorous scientific process. Excited to be part of this effort.,0.5067,neutral
139,". Russian professor twice infects himself with COVID-19, says herd immunity won't save us | National Post",-0.3875,negative
140,"Congratulation Kevin , Tom and Stanley for receiving fund to develop next-gen COVID-19 vaccine &amp;ISUPartnership",0.5994,neutral
141,A look at how the might be distributed.,0.0,negative
142,"NEW , the Importance of Community Trust to Combat COVID-19 Vaccine Hesitancy. Listen now for highlights from our recent event on developing a with &amp; :",0.3612,neutral
143,"Our next podcast will be live next week! Catch up on last week's pod when Meagan Parrish discussed vaccine distribution with Omar Chane, principal at PWC:",0.0,negative
144,New post: Secures $287M for Delivery,0.3182,neutral
145,PODCASTIn this episode of Occupation Station takes us from her early days as a lab technician to her role as director of Listen to her journey,0.0,negative
146,Cyprus Ministry of Health announced on Thursday new coronavirus cases,0.0,negative
147,"Listen to highlights from a recent event with , , and the Jonas Salk Legacy Foundation on the importance of community trust in combatting hesitancy.",0.5994,neutral
148,Kenya has begun the clinical trial to evaluate the effectiveness and safety of one of the Covid-19 vaccine known asChAdOx1 nCoV-19.The vaccine was developed by the University of Oxford in partnership with AstraZeneca.,0.4215,neutral
149,TV9 Digital ShortsA round-up of the top updates from across the world this Friday evening. ://,0.2023,neutral
150,"$TNXP-Dr. Seth Lederman, CEO of Tonix Pharmaceuticals will be joining me on Nov at pm EST to discuss a TNX-1800 and other drugs in their pipeline!Tonix Pharmaceuticals Holding Corp.",0.0,negative
151,"The pharma industry is constantly in the mainstream news with the race to find a . , who regularly employ TIPT graduates, recently signed a deal with 's federal government to receive doses of their COVID vaccine candidate.",0.0,negative
152,"Robert Root-Bernstein, Professor of Physiology at Michigan State University had a great article on The Conversation earlier this month regarding how the may reduce deaths from until a is ready.Read it here:",0.6249,neutral
153,News from the CDC: A three phase rollout of the vaccine in Florida and hope that this will all be over soon!,0.4926,neutral
154,initiates global trial of Oxford Universitys,0.0,negative
155,Delhi health minister on Friday encouraged people to wear masks and urged everyone should consider them as a vaccine against the coronavirus disease.,0.3612,neutral
156,"BCG Vaccine Can Help Elderly Fight Against COVID-19, Says ICMR Study",0.0258,neutral
157,": The Bacille Calmette-Guerin or BCG vaccine, originally made against tuberculosis, may help in the management of Covid-19, especially in the elderly, says a study by .",0.4019,neutral
158,"Strategies of war, how Africa should play to successfully navigate geopolitics to secure Covid-19 Vaccines for Africa out my latest article",0.4767,neutral
159,The Centre has asked states to constitute committees for coordination and overseeing vaccination drive while ensuring minimal disruptions in other routine healthcare services. Follow LIVE updates here.,-0.0772,negative
160,Another guess/hype on Or Let us see does really Helps to cure,0.4391,neutral
161,"The terms of references mention that SSC should meet at least once a month, STF once a fortnight, and DTF once a week",0.0,negative
162,"If gave the to before he got , they should be reporting this to the immediately- as its obviously not providing the intended immunization...",0.0,negative
163,has signed an agreement with and to provide million doses of the companies to the COVAX Facility.Learn more about this and the rest of this week's top stories in on our weekly here&gt;,0.6124,neutral
164,Good News Mutual Fund Distributors (MFDs)!!! Launching Indias First Covid-19 Vaccine to make your Distribution Business Covid-Proof.,0.5826,neutral
165,Coronavirus: Moderna says it is actively preparing for launch of vaccine,0.3182,neutral
166,"Announcing on November -27,2020Share your research expertise in your abstracts now!Find out more:",0.0,negative
167,'s trial slows as focus shifts to nd dose,0.0,negative
168,"Under pressure, plans insurance scheme for poor nations",-0.6486,negative
169,PM Modi said that All Indians will be vaccinated with the coronavirus vaccine once it is available and no one will be left behind and a national expert group has been created to manage vaccine administration.,-0.0516,negative
170,"Together with our partners, and we invite you on Thurs th Nov from pm EAT to our next edition of webinar.Theme: Preparing African Countries for the .Register at",0.1531,neutral
171,"ETAuto | Economic recovery faster than expected, confident of meeting $5-trn target by : PM",0.4939,neutral
172,Consider masks as : Health Minister after spike in cases in,0.0,negative
173,"on is not a magic bullet ~ ""It's not like an antidote for a snake bite, is it""?! Reply by /Oxford Absolutely!",-0.4007,negative
174,"vaccine development: India increases engagement with Myanmar, Bangladesh , reports",0.4588,neutral
175,American Company Prepares for Global Launch of ://(: IANS),0.0,negative
176,Coronavirus Vaccines To Be Available December Or Early January In US - Fauci,0.0,negative
177,"Albert Bourla, the chief executive of Pfizer, said that the vaccine was in the last mile and that the pharmaceutical company expected results within a matter of weeks.",0.0258,neutral
178,The clinical trials across several centers in Moscow had to be paused after they ran out of stock of vaccine volunteers.Click to know more,0.0,negative
179,"India reports over Covid-19 cases in hours, active cases fall below lakh, , , ,",0.4019,neutral
180,American biotechnology company announced that it was preparing for the global launch of its candidate. ://,0.0,negative
181,Moderna prepares global launch of its COVID-19 vaccine ://,0.0,negative
182,COVID-19 Vaccine Update: Moderna Prepares for Global Launch of Coronavirus Vaccine,0.0,negative
183,"AMERICA if you're still in doubt about ""WHICH WAY TO VOTE""... you can ""WRITE ME IN""! MY position: isn't CRITICAL; it's a bad flu with % Mortality Rate from China has a % MORTALITYTHAT is the vaccine needed",0.1397,neutral
184,VBI Vaccines: The amateur in COVID-19 vaccine race can give Moderna a run for its money.... $MRNA $VBIV,0.0,negative
185,"Dear Once again, shows us who's the boss. There will be NO anytime soon!So.... STOP LYING (oh wait... you don't know how)",-0.8267,negative
186,Do You Trust FDA on COVID-19 Vaccines? States &amp; a Black Medical Group Form Review Boards For nd Opinion via (I don't trust current FDA due to GOP Stranglehold - Test Only GOP st),0.1526,neutral
187,"Moderna says it's on track to report vaccine trial results and apply for FDA approval next month. Compare reports by , and analysis by",0.4767,neutral
188,Too many covid-19 vaccines to pick? Now you can do a parallel comparison on all of them (see screenshot below). Check out and see for yourself.,0.0,negative
189,VBI Vaccines: The amateur in COVID-19 vaccine race can give Moderna run for its money.... $MRNA $VBIV,0.0,negative
190,ALL are INVITED - Sat Oct pm ET - to hear about COVID-19 rapid tests and vaccine production!Diagnosis of COVID-19: Can We Catch Them All?An Integrated Platform for Virus Detection and Vaccine Production Taiwanese American Asso of Biotechnology,0.0,negative
191,Important thread on distribution.,0.2023,neutral
192,Jose Arrieta: Uses Platform to Help Track Trials,0.4019,neutral
193,Great news that Moderna is preparing to roll out their vaccine!,0.6588,neutral
194,"This week, we at and released a Vaccine Allocation Planner for states and cities to plan distribution. As you start working with it, you realize just how wrenching the choices are going to be.",0.0,negative
195,: Were about ready to launch our COVID-19 vaccine too!,0.4199,neutral
196,"If you would like to know the true status of candidates, the London School of Hygiene and Tropical Medicine offers this holistic overview of each.",0.6486,neutral
197,So u won't accept the therapeutics THAT HAD DEVELOPED if you get sick? So you won't accept the when it becomes available in the next month or so? Do you REALLY believe aka would have had field hospitals built so quickly months ago?? WRONG.,-0.9188,negative
198,"Did you hear about the fellow who died of the vaccine? The is blaming ?Well, it was a test and he was part of the CONTROL GROUP!He didnt get the vaccine. He got a placebo.",-0.8152,negative
199,"""WHO recommends that successful vaccines should show disease risk reduction of at least %, with % CI that true vaccine efficacy exceeds %.""",0.7506,positive
200,"This year's MMS Interim Meeting Ethics Forum, Nov. at a.m., will explore the ethical considerations for the , from development to distribution. This session is complimentary for MMS members. Non-members will be charged a fee to attend.",0.6597,neutral
201,McGill-led vaccine tracker provides real-time updates on progress in developing a COVID-19 vaccine,0.4215,neutral
202,Can end the pandemic?,0.0,negative
203,"Washington, Nevada, and Oregon are joining California's committee in reviewing the safety of any before allowing distribution.",0.4215,neutral
204,Can end the pandemic?,0.0,negative
